Strain,Experimental,GSMM,Binary_Experimental,Binary_GSMM,ML_prediction
A02_62,16.208278302047,1.88798123612473,0,1,1
A02_63,16.5957508955672,2.00302112759623,1,1,1
A02_64,17.7970272492769,1.95039910322454,1,1,1
A02_66,16.0051819999358,0.957085320201214,0,0,0
A02_68,15.6529266109567,0.99222220125062,0,0,0
A02_69,14.2631239103911,0.94882587977121,0,0,0
A02_70,16.4563206521669,1.96184317214165,1,1,0
A02_71,16.3337777230131,2.05843948934149,1,1,0
A02_72,15.827542174764,1.00689145529237,0,0,0
A02_73,15.2474707526786,1.07395102044376,0,0,0
A02_74,14.793104056551,0.704195980134391,0,0,0
A02_75,18.5303537092017,2.0942629320804,1,1,0
A02_76,15.5446946017471,1.06312196184516,0,0,0
A02_78,15.4202022076258,2.07042975900842,0,1,0
